GRBa;GRB X-ray position;Error;Instrument;IPNb;XAb;OTb;RAb;IAUC;zc
221110A;01h56m29sÿ-27ø 19';3;Swift;;y;y;;;4.06
221028B;14h19m39sÿ-36ø 50';60;MAXI;;;;;;
221028A;20h56m49sÿ+41ø 04';3;Swift;y;y;;;;
221027B;15h02m25sÿ+47ø 27';3;Swift;;y;;;;
221027A;12h21m07sÿ-05ø 41';23;Fermi;y;;;;;
221025AS;08h53m31sÿ+10ø 59';76;Fermi;y;;;;;
221024A;11h18m52sÿ+33ø 02';3;Swift;y;y;y;;;
221023A;15h21m11sÿ+15ø 00';3;Fermi;y;;;;;
221022A;07h53m22sÿ-05ø 07';5;Swift;y;;;;;
221017A;07h47m01sÿ+39ø 17';60;MAXI;y;;;;;
221016A;02h35m48sÿ-34ø 37';3;Swift;y;y;y;;;
221009A;19h13m03sÿ+19ø 48';3;Swift;y;y;y;y;;0.151
221008A;01h58m44sÿ-18ø 53';7.2*5.4;MAXI;;;;;;
221006A;22h29m18sÿ+15ø 42';6.6*5.4;MAXI;y;y;;;;
220930A;04h18m57sÿ+13ø 21';3;Swift;y;y;;;;
220927A;06h03m52sÿ-22ø 57';306*20;IPN;y;;;;;
220926B;18h15m49sÿ-37ø 15';3;INTEGRAL;y;;;;;
220921A;04h27m10sÿ-40ø 15';25;Fermi;y;y;y;;;
220910A;00h34m56sÿ-01ø 45';61*19;IPN;y;;;;;
220909A;14h24m11sÿ-08ø 51';3;Swift;y;;;;;
220907A;17h55m29sÿ-20ø 19';3;Swift;y;y;;;;
220905A;23h00m48sÿ-35ø 24';180;IPN;y;;;;;
220903A;11h55m11sÿ-29ø 42';236*38;IPN;y;;;;;
220831AS;01h37m01sÿ-41ø 45';2;Swift;y;y;y;;;
220826A;13h45m44sÿ-44ø 03';3;Swift;y;y;y;;;
220813A;05h26m00sÿ-32ø 59';3;Swift;y;y;y;;;
220806A;17h23m30sÿ-26ø 01';3;Swift;;;;;;
220730AS;15h00m05sÿ-69ø 30';3;Swift;y;y;;;;
220715B;16h59m33sÿ-33ø 36';3;Swift;y;y;;;;
220714B;03h08m17sÿ-19ø 20';3;Swift;y;y;y;;;
220711B;17h27m58sÿ+24ø 40';3;Swift;y;y;y;;;
220710A;14h46m22sÿ+20ø 39';2;Swift;y;y;;;;
220708B;16h34m36sÿ+36ø 20';5;Swift;y;y;;;;
220708A;06h52m28sÿ+72ø 11';3;Swift;;y;;;;
220706A;00h02m21sÿ-16ø 23';3;Swift;;y;;;;
220701A;16h09m55sÿ+55ø 25';3;Swift;;y;;;;
220627A;13h24m48sÿ-32ø 30';12;Fermi;y;y;y;y;;3.084
220624A;11h57m24sÿ+16ø 41';33*4;Fermi;y;;;;;
220623A;09h41m51sÿ+75ø 50';3;Swift;y;y;?;;;
220618A;02h35m52sÿ+55ø 13';3;Swift;y;y;;;;
220617AS;10h27m50sÿ+15ø 32';5;Fermi;y;;;;;
220611A;04h26m06sÿ-37ø 17';3;Swift;;y;y;;;
220609B;23h11m10sÿ+00ø 23';114*8;IPN;y;;;;;
220606BS;01h53m54sÿ-54ø 55';5;Swift;y;;;;;
220601A;14h58m49sÿ-47ø 59';420*11;IPN;y;;;;;
220528AS;20h51m51sÿ+18ø 51';408*21;IPN;y;;;;;
220527A;21h34m17sÿ+21ø 34';5;Fermi;y;y;y;;;0.857
220525A;00h53m28sÿ+16ø 24';480*25;IPN;y;;;;;
220524B;04h41m06sÿ-19ø 29';206*4;IPN;y;;;;;
220524A;01h23m27sÿ+46ø 35';100*5;IPN;y;;;;;
220521B;03h41m51sÿ+38ø 59';558x5;IPN;y;;;;;
220521A;18h20m47sÿ+10ø 23';3;Swift;y;y;y;;;5.6
220519A;23h51m08sÿ-09ø 31';43x28;IPN;y;;;;;
220518A;03h41m29sÿ-47ø 34';3;Swift;;y;y?;;;
220514B;16h23m09sÿ+61ø 39';60;MAXI;y;;;;;
220514A;09h50m44sÿ+13ø 10';3;INTEGRAL;y;;y;;;
220511A;19h09m47sÿ+17ø 44';7;Swift;y;y;;;;
220506A;15h58m05sÿ-27ø 02';21;MAXI;y;y;;;;
220501A;05h42m18sÿ+14ø 02';3;Swift;y;;;;;
220430A;06h30m27sÿ+09ø 31';3;Swift;y;y;;;;
220427A;18h23m29sÿ-56ø 15';3;Swift;;y;y;;;
220426A;22h34m46sÿ-23ø 00';96*14;IPN;y;;;;;
220423A;01h23m08sÿ+22ø 12';138*29;IPN;y;;;;;
220418BS;14h57m19sÿ-17ø 30';5;Swift;y;;;;;
220414A;03h25m08sÿ-00ø 21';60;MAXI;;;;;;
220412BS;21h23m11sÿ-00ø 13';3;Swift;y;;;;;
220412A;08h15m52sÿ+30ø 19';3;Swift;;y;y;;;
220408B;06h10m09sÿ-49ø 37';240*48;IPN;y;;;;;
220408A;13h29m36sÿ+47ø 04';3;Swift;y;y;y;;;
220406AS;21h39m59sÿ+64ø 56';276*3;IPN;y;;;;;
220404A;03h21m47sÿ+10ø 00';3;Swift;;;;;;
220403C;01h10m17sÿ-56ø 14';18*4;IPN;y;;;;;
220403B;12h44m06sÿ+89ø 10';3;Swift;y;y;y;;;
220325A;17h57m56sÿ-07ø 02';3;Swift;y;y;;;;
220320A;06h16m36sÿ-55ø 55';7*3;IPN;y;;;;;
220319A;14h32m50sÿ+61ø 17';3;Swift;;y;;;;
220311A;10h31m54sÿ+66ø 05';3;INTEGRAL;y;;;;;
220310C;19h20m17sÿ+40ø 15';5;Swift;y;;;;;
220310A;11h14m27sÿ+23ø 27';11;MAXI;y;;y;;;
220308A;17h48m25sÿ+11ø 39';225*25;IPN;y;;;;;
220306B;00h21m31sÿ+71ø 21';3;Swift;y;y;y;;;
220305B;11h44m27sÿ-32ø 33';729*4;IPN;y;;;;;
220305A;07h10m20sÿ-37ø 42';3;Swift;y;y;;;;
220302A;20h05m44sÿ+49ø 23';3;Swift;;y;;;;
220228A;20h44m48sÿ-22ø 42';42;Fermi;;;;;;
220219B;16h03m39sÿ+31ø 14';0.1;ZTF;y;y;y;y;;0.293
220219A;02h48m58sÿ+10ø 35';786*3;IPN;;;;;;
220218A;08h55m19sÿ+31ø 59';3;Swift;;;;;;
220210A;23h03m07sÿ+61ø 50';2;Swift;y;;;;;
220209A;23h28m31sÿ+73ø 07';84;Fermi;y;;;;;
220128A;23h20m46sÿ-49ø 44';383*7;IPN;y;;;;;
220124A;16h07m47sÿ+41ø 59';228*3;IPN;y;;;;;
220118A;12h49m06sÿ+22ø 55';3;Swift;y;y;y;;;
220117C;19h05m50sÿ+16ø 47';2;Swift;y;;;;;
220117B;12h47m47sÿ-28ø 45';3;Swift;;y;;;;
220117A;06h06m19sÿ-28ø 25';3;Swift;y;y;;;;4.961
220107B;14h26m00sÿ+20ø 00';16.8;Fermi;y;y;;;;
220107A;11h19m03sÿ+34ø 08';10;Swift;y;y;y;;;1.246
220101A;00h05m31sÿ+31ø 45';3;Swift;y;y;y;y;;4.618
211229A;19h40m10sÿ+23ø 08';4;Fermi;y;;;;;
211227A;08h48m30sÿ-02ø 42';3;Swift;y;y;;;;0.228?
211225B;17h14m16sÿ+17ø 16';3;Swift;y;;;;;
211225A;08h26m22sÿ-07ø 20';60;MAXI;;;;;;
211223C;15h08m39sÿ-26ø 52';3;Swift;;;;;;
211221A;05h15m45sÿ+00ø 56';3;Swift;y;y;;;;
211219A;03h54m37sÿ-34ø 37';82*6;IPN;y;;;;;
211211A;14h09m05sÿ+27ø 53';3;Swift;y;y;y;;;
211207A;09h58m30sÿ-24ø 21';3;Swift;;y;y;;;2.272
211204C;22h35m48sÿ+52ø 10';270*4;IPN;y;;;;;
211130A;01h24m35sÿ-27ø 50';126*6.5;IPN;y;;y?;;;
211129A;18h18m14sÿ+31ø 47';3;Swift;y;y;;;;
211120A;21h00m33sÿ+42ø 51';23*0.7;IPN;y;;;;;
211115A;08h11m30sÿ-25ø 40';60;MAXI;y;;;;;
211107B;04h23m11sÿ-27ø 33';3;Swift;y;y;;;;
211106A;22h54m34sÿ-53ø 14';7;INTEGRAL;y;y;;;;
211025A;10h49m30sÿ+31ø 33';3;Swift;;y;y;;;
211024B;10h18m45sÿ+24ø 35';3;Swift;;y;y;;;1.1137
211024A;01h52m13sÿ-06ø 58';6;Fermi;;;;;;
211023BA;11h21m12sÿ+39ø 08';3;Swift;;y;y;;;
211023A;04h49m12sÿ+85ø 18';6;Fermi;y;;y;;;0.390
211022A;10h46m27sÿ-51ø 00';156*10;IPN;y;;;;;
211019A;07h07m57sÿ-38ø 47';43*2;IPN;y;;;;;
211018A;01h18m42sÿ-03ø 36';11;Fermi;y;;;;;
210930A;13h09m44sÿ+48ø 37';3;Swift;;y;;;;
210928A;16h23m17sÿ-17ø 53';10;Fermi;y;y;;;;
210927B;17h32m05sÿ+73ø 47';76*2;IPN;y;;;;;
210925B;03h15m16sÿ-52ø 52';138*2.5;IPN;y;n;;;;
210919AS;05h20m55sÿ+01ø 16';3;Swift;;n;;;;
210912A;08h39m04sÿ+79ø 12';3;Swift;;y;y;;;
210905A;20h36m15sÿ-44ø 26';3;Swift;y;y;;y;;6.318
210901A;19h41m10sÿ-76ø 56';3;Swift;;y;;;;
210827A;11h39m40sÿ+55ø 47';4;Fermi;y;y;;;;
210826A;03h01m12sÿ-71ø 42';12;Fermi;y;;;;;
210824A;15h28m32sÿ+11ø 08';3;Swift;y;y;;;;
210822A;20h17m54sÿ+05ø 16';3;Swift;y;y;y;y;;1.736
210820A;01h22m31sÿ+04ø 38';3;Swift;;y;y;;;
210818A;09h56m32sÿ-87ø 02';3;Swift;y;y;y?;;;
210807C;09h34m12sÿ-51ø 25';3;Swift;y;y;;;;
210807A;05h06m43sÿ+58ø 15';3;Swift;y;y;y;;;
210802A;15h23m36sÿ+29ø 51';21;Fermi;y;y;;;;
210731A;20h01m15sÿ-28ø 02';3;Swift;y;y;y;;;1.2525
210730A;09h58m22sÿ+69ø 42';3;Swift;y;y;;;;
210727A;12h36m55sÿ-59ø 56';548*22;IPN;y;;;;;
210726AS;12h53m22sÿ+19ø 11';3;Swift;;y;;y;;
210725B;12h51m44sÿ+17ø 07';3;Swift;;y;;;;
210725A;14h21m27sÿ-01ø 11';3;Swift;y;y;;;;
210724A;15h09m38sÿ-06ø 16';3;Swift;;y;y?;;;
210723A;08h06m54sÿ-32ø 50';3;Swift;y;y;;;;
210722A;01h48m06sÿ-06ø 21';3;Swift;y;y;y;;;1.145
210712A;06h29m21sÿ-35ø 24';3;Swift;;y;;;;
210708B;09h30m19sÿ+14ø 28';3;Swift;;;;;;
210708A;11h34m48sÿ-49ø 11';3;Swift;y;y;;;;
210707A;12h50m11sÿ-63ø 17';3;INTEGRAL;y;;;;;
210706A;20h48m03sÿ+13ø 18';5;Swift;y;y;;;;
210704A;10h36m20sÿ+57ø 19';7;Fermi;y;y;?;;;
210702A;11h14m17sÿ-36ø 44';3;Swift;;y;y;y;;1.160
210626A;14h46m29sÿ-01ø 09';3;Fermi;y;y;;;;
210624AS;03h36m58sÿ+80ø 22';322x23;Fermi;y;;;;;
210622AS;15h32m28sÿ-26ø 13';3;Fermi;y;;;;;
210619B;21h18m51sÿ+33ø 52';3;Swift;y;y;y;;;1.937
210618A;15h43m17sÿ+46ø 03';3;Swift;y;y;;;;
210610B;16h15m45sÿ+14ø 23';3;Swift;y;y;y;;;1.13
210610A;13h37m08sÿ+14ø 29';3;Swift;y;y;y;;;3.54
210607A;17h33m28sÿ-22ø 17';34;MAXI;;;;;;
210606B;05h51m57sÿ-16ø 41';204*3;Fermi;y;;;;;
210606A;11h23m37sÿ+00ø 43';4;Fermi;y;y;;;;
210605B;01h02m56sÿ-06ø 28';5;Fermi;y;y;;;;
210605A;01h26m26sÿ-45ø 05';540*8;IPN;y;;;;;
210602A;02h58m31sÿ-02ø 40';12;MAXI;y;;;;;
210531A;09h22m22sÿ+08ø 17';378*60;IPN;y;;;;;
210528B;15h58m09sÿ+05ø 59';60;MAXI;;;;;;
210527A;11h29m25sÿ+31ø 37';3;Swift;;y;;;;
210524A;22h54m15sÿ-46ø 40';408*4;IPN;y;;;;;
210521A;17h38m41sÿ-61ø 45';9;MAXI;;;;;;
210520A;08h12m00sÿ-69ø 24';44;Fermi;y;;;;;
210517A;23h52m42sÿ-39ø 06';3;Swift;;y;y;;;2.486
210515C;00h04m12sÿ-15ø 01';3;Swift;;y;;;;
210514A;00h11m52sÿ-21ø 53';3;Swift;y;y;;;;
210511B;20h51m39sÿ+58ø 23';456*6;IPN;y;;;;;
210509A;23h21m25sÿ+06ø 41';3;Swift;;y;;;;
210506A;17h48m25sÿ+11ø 39';2580*222;INTEGRAL;y;;;;;
210504A;14h49m11sÿ-30ø 32';3;Swift;;y;y;;;2.077
210430A;03h48m44sÿ+45ø 05';3;Swift;;;;;;
210427A;11h51m10sÿ-52ø 52';216*5;Fermi;y;;;;;
210424BS;18h58m52sÿ+16ø 10';23*4;IPN;y;;;;;
210422A;01h24m33sÿ+42ø 07';3;Swift;;;;;;
210421B;18h03m16sÿ+56ø 50';5;INTEGRAL;y;;;;;
210421A;06h59m38sÿ+04ø 56';3;Swift;y;y;;;;
210420B;16h57m17sÿ+42ø 34';3;Swift;;y;y;;;1.400
210419C;14h11m51sÿ+36ø 01';3;Swift;;y;;;;
210419A;05h47m27sÿ-65ø 32';3;Swift;;y;;;;
210413B;12h10m14sÿ+55ø 58';3;Swift;;;;;;
210411C;19h46m14sÿ-39ø 22';3;Swift;;y;y;;;2.826
210410A;17h59m01sÿ+45ø 22';3;Swift;y;y;y;;;
210406A;08h49m56sÿ+76ø 32';3;INTEGRAL;y;;;;;
210403A;00h11m04sÿ-33ø 00';3;Swift;y;y;;;;
210402A;13h13m02sÿ+44ø 31';3;Swift;y;y;?;;;
210324C;02h20m27sÿ-48ø 36';760*51;Fermi;y;;;;;
210323B;17h18m40sÿ+15ø 41';6;Fermi;y;;;;;
210323AS;21h11m49sÿ+25ø 23';3;Swift;y;y;y;;;
210321A;05h51m30sÿ+70ø 07';3;Swift;y;y;y;;;1.487
210320A;00h18m47sÿ-47ø 29';60;MAXI;;;;;;
210318B;17h36m55sÿ-35ø 49';3;Swift;y;y;;;;
210318A;02h15m43sÿ-37ø 47';3;Swift;;y;;;;
210312B;10h23m22sÿ+76ø 53';3;INTEGRAL;;;y;;;1.069
210308A;04h28m21sÿ+37ø 25';3;Swift;y;y;y;;;
210307A;07h56m46sÿ-66ø 58';3;Swift;;y;;;;
210306B;22h07m23sÿ+10ø 10';3;Swift;y;;;;;
210306A;08h39m52sÿ+60ø 12';3;Swift;y;y;y;;;
210305A;21h19m15sÿ+34ø 33';3;Swift;y;y;;;;
210226A;08h16m33sÿ+57ø 35';3;Swift;y;y;;;;
210222B;10h18m29sÿ-14ø 54';3;Swift;;y;y;;;2.198
210222A;23h30m46sÿ-28ø 49';60;MAXI;y;;;;;
210218A;03h09m10sÿ+35ø 17';3;Swift;;y;y;;;
210217A;06h30m26sÿ+68ø 43';3;Swift;y;y;y;;;
210212B;10h24m42sÿ+11ø 37';0.01;ZTF;y;y;;;;
210212A;04h49m03sÿ+07ø 14';3;Swift;;y;;;;
210211A;17h57m44sÿ-46ø 18';3;Swift;y;y;y;;;
210210A;17h31m15sÿ+14ø 39';3;Swift;y;y;y;;;0.715
210209A;21h52m23sÿ+43ø 34';3;Swift;;y;;;;
210208A;17h20m47sÿ-12ø 40';2;INTEGRAL;;;;;;
210207B;18h02m20sÿ+53ø 42';3;Swift;y;y;y;;;
210205A;23h09m02sÿ+56ø 19';3;Swift;;y;;;;
210204A;07h48m19sÿ+11ø 25';0.01;ZTF;y;y;y;y;;0.876
210202A;15h20m00sÿ-38ø 00';42;Fermi;y;;;;;
210124BS;18h17m20sÿ-00ø 27';25*5;HXMT;y;;;;;
210121A;01h07m55sÿ-46ø 24';36*5;HXMT;y;;;;;
210120A;10h54m00sÿ+17ø 00';150;Fermi;y;;y;;;
210119AS;18h51m13sÿ-61ø 48';3;Swift;y;y;y;;;
210116A;08h15m15sÿ-05ø 52';0.01;ZTF;;y;y;y;;2.514
210112A;14h36m00sÿ+33ø 04';3;Swift;y;y;y;;;
210110A;11h30m38sÿ-41ø 31';60;MAXI;;;;;;
210109A;04h09m00sÿ+05ø 02';60;MAXI;;;;;;
210104B;03h34m24sÿ+37ø 56';3;Swift;;y;;;;
210104A;06h54m49sÿ+64ø 40';3;Swift;y;y;y;;;0.46
210102C;15h42m57sÿ-37ø 13';3;Swift;y;;;;;
210102B;23h33m55sÿ-21ø 15';60;MAXI;;y;y;;;
201229A;14h02m50sÿ+48ø 12';3;Swift;;y;y;;;
201227AS;11h20m29sÿ-73ø 37';87*6;Fermi;y;;;;;
201223A;08h51m24sÿ+71ø 10';3;Swift;y;y;y;;;
201221DS;11h24m12sÿ+42ø 09';3;Swift;y;y;y;;;1.046
201221A;14h17m55sÿ-45ø 25';3;Swift;y;y;y;;;5.70
201220A;18h48m40sÿ-01ø 30';60;MAXI;;;;;;
201218A;19h13m59sÿ+28ø 21';26*7;IPN;y;;;;;
201216C;01h05m26sÿ+16ø 32';3;Swift;y;y;y;;;1.10
201216A;13h25m57sÿ+36ø 19';3;Fermi;y;;;;;
201214BS;12h31m53sÿ+09ø 06';3;Swift;y;;;;;
201214A;11h23m54sÿ+33ø 52';3.5;INTEGRAL;;y;;;;
201209A;01h32m25sÿ-01ø 46';3;Swift;y;y;y;;;
201208A;10h33m15sÿ-28ø 45';12;Fermi;y;y?;;;;
201207A;08h00m46sÿ-49ø 20';150*78;Fermi;y;;;;;
201203A;02h32m19sÿ-26ø 32';3;Swift;;y;;;;
201128B;22h37m25sÿ-49ø 14';5;Fermi;y;;;;;
201128A;14h52m33sÿ+26ø 41';3;Swift;;y;;;;
201116A;09h57m19sÿ+00ø 19';15;Fermi;y;y;?;;;
201105A;16h22m26sÿ+12ø 44';3;Swift;y;;;;;
201104B;00h20m52sÿ+07ø 49';3;Swift;;y;y;;;1.954
201104A;05h25m36sÿ-71ø 06';14;Fermi;y;;;;;
201103B;02h48m44sÿ+12ø 08';0.1;AGILE;y;y;;;;1.105
201029A;15h18m24sÿ+44ø 28';3;Swift;y;y;;;;
201027A;10h23m54sÿ-05ø 31';3;Swift;;y;;;;
201026A;13h06m39sÿ+83ø 46';3;Swift;y;y;;;;
201024A;08h23m47sÿ+03ø 23';3;Swift;;y;y;;;0.999
201021C;00h50m12sÿ-55ø 50';3;Swift;y;y;y;;;1.070
201021B;00h13m55sÿ-63ø 33';60;MAXI;;;;;;
201020B;04h59m29sÿ+76ø 59';13;Fermi;y;y;y;;;0.804
201020A;17h24m59sÿ+31ø 25';3;Swift;y;y;y;;;2.903
201017A;02h26m32sÿ+66ø 40';3;Swift;y;y;?;;;
201016A;11h37m12sÿ-02ø 00';60;Fermi;y;;;;;
201015A;23h37m22sÿ+53ø 24';3;Swift;y;y;y;y;;0.426
201014A;01h23m23sÿ+27ø 42';3;Swift;;y;y;;;4.56
201013A;07h09m33sÿ+57ø 02';3;Swift;y;y;?;;;
201008A;10h46m59sÿ+46ø 06';5;Fermi;y;y;;;;
201006AS;04h07m31sÿ+65ø 09';3;Swift;y;y;;;;
201001A;07h20m17sÿ-02ø 13';3;Swift;y;y;;;;
200925B;16h27m24sÿ+78ø 24';3;Swift;;y;y;;;
200922A;19h47m40sÿ-55ø 12';3;Swift;y;y;y;;;
200919A;11h15m40sÿ+32ø 27';3;Swift;;;;;;
200917A;15h43m01sÿ-04ø 42';3;Swift;y;y;;;;
200914A;16h58m03sÿ-36ø 17';2.6;INTEGRAL;y;;;;;
200909B;11h40m42sÿ-31ø 11';3;Swift;;;;;;
200907BS;05h56m03sÿ+06ø 55';3;Swift;y;y;;;;
200907A;09h25m54sÿ-01ø 26';55*24;AGILE;y;;;;;
200906A;18h09m10sÿ+67ø 51';3;Swift;y;y;;;;
200903D;20h51m06sÿ-00ø 36';16*13;MAXI;;;;;;
200903A;10h57m15sÿ+50ø 30';3;Swift;y;;;;;
200901B;14h31m31sÿ-38ø 43';3;Swift;;y;y;;;
200901A;04h07m02sÿ-59ø 53';3;Swift;y;y;y;;;
200829A;16h44m51sÿ+72ø 20';3;Swift;y;y;y;;;1.25ph
200826B;10h12m42sÿ+57ø 35';12*33;IPN;y;;;;;
200826AS;00h27m16sÿ+34ø 02';27*15;IPN;y;y;y;y;;0.7481
200819A;01h25m43sÿ+63ø 03';3;Swift;;y;;;;
200815AS;23h46m45sÿ-27ø 48';36*7;IPN;y;;;;;
200809B;01h03m46sÿ-73ø 50';4;Swift;y;y;;;;
200806A;03h31m37sÿ+37ø 05';3;Swift;y;y;y;;;
200803A;20h45m10sÿ-63ø 05';28;Fermi;y;y;y;;;
200729A;12h17m30sÿ+45ø 35';3;Swift;y;y;;;;
200716C;13h04m03sÿ+29ø 38';3;Swift;y;y;y;;;
200716A;09h17m20sÿ-16ø 44';78*28;Fermi;y;y;;;;
200715A;16h34m25sÿ+51ø 48';3;INTEGRAL;;y;;;;
200714E;13h07m28sÿ-51ø 38';3;Fermi;y;y;;;;
200713A;05h07m51sÿ-32ø 49';3;Swift;;y;;;;
200711A;19h03m54sÿ-00ø 08';3;Swift;y;y;;;;
200701A;08h14m13sÿ-14ø 30';3;Swift;y;;;;;
200630A;06h05m31sÿ-60ø 47';3;Swift;y;y;;;;
200623AS;16h08m23sÿ+51ø 28';4;Fermi;;;;;;
200615B;10h13m24sÿ-04ø 50';60;MAXI;y;;;;;
200613A;10h12m07sÿ+45ø 51';8;Fermi;y;y;y;;;1.22
200612A;20h10m43sÿ-45ø 21';3;Swift;y;y;y;;;
200608A;20h38m31sÿ-31ø 10';3;Swift;;;;;;
200605AS;06h23m21sÿ+50ø 57';35*16;Fermi;y;;;;;
200530A;02h08m24sÿ+69ø 14';29;Fermi;y;;;;;
200529A;15h55m00sÿ-11ø 03';3;Swift;y;y;y;;;
200528A;11h46m33sÿ+58ø 09';3;Swift;y;y;;;;
200524A;14h11m00sÿ+60ø 58';12;Fermi;y;y;y;;;1.256
200522AS;00h22m40sÿ-00ø 17';3;Swift;;y;y;y;;0.554
200521AS;11h18m07sÿ+07ø 13';256*17;AGILE;y;;;;;
200519A;17h01m20sÿ-30ø 23';3;Swift;y;y;y;;;
200517A;01h08m55sÿ-50ø 45';60;MAXI;y;y;;;;
200514A;11h19m53sÿ+20ø 08';60;MAXI;y;;;;;
200512A;00h29m35sÿ-02ø 12';3;Swift;y;y;;;;
200509A;07h45m48sÿ-04ø 38';3;Swift;;y;y;;;
200425A;05h40m58sÿ-13ø 28';3;Swift;y;y;;;;
200424A;20h29m55sÿ-39ø 43';3;INTEGRAL;y;y;;;;
200422A;13h05m36sÿ-20ø 15';264*14;IPN;y;;;;;
200416A;22h22m46sÿ-07ø 32';3;Swift;y;y;y;;;
200415AS;00h44m17sÿ-25ø 01';35;Fermi;y;;;;;
200412B;18h29m55sÿ+61ø 47';30;Fermi;y;y;y;;;
200412A;09h08m39sÿ-39ø 01';53*14;Fermi;y;;;;;
200411AS;03h10m38sÿ-52ø 19';3;Swift;y;y;;n;;
200410A;19h58m33sÿ+51ø 46';3;Swift;;y;y;;;
200409A;04h02m13sÿ-50ø 15';3;Swift;y;y;?;;;
200405B;04h11m09sÿ-51ø 32';4;INTEGRAL;y;;;;;
200327AS;15h46m18sÿ-04ø 13';216*14;Fermi;y;;;;;
200325B;02h06m53sÿ-31ø 49';198;Fermi;y;y;y;;;
200325AS;02h06m53sÿ-31ø 49';4;Fermi;y;;;;;
200324A;14h50m44sÿ+35ø 58';3;Swift;;y;;;;
200311A;13h56m59sÿ-50ø 03';120*21;Fermi;y;;;;;
200306C;13h14m20sÿ+11ø 15';3;Swift;;y;y;;;
200306A;06h44m25sÿ-62ø 00';3;Swift;y;y;;;;
200303A;14h10m47sÿ+51ø 22';3;Swift;y;y;;;;
200228B;16h48m06sÿ+16ø 58';3;Swift;y;y;;;;
200228A;22h15m34sÿ-42ø 57';3;Fermi;y;;;;;
200227A;03h45m45sÿ+09ø 29';3;Swift;y;y;;;;
200224A;16h35m11sÿ+41ø 41';3;Swift;y;y;y;;;
200219C;17h30m46sÿ+10ø 25';15;Fermi;y;y;y;y;;
200219AS;22h50m35sÿ-59ø 06';3;Swift;y;y;;n;;
200216B;10h41m51sÿ+19ø 27';3;Swift;y;y;;;;
200216A;20h45m45sÿ-11ø 39';3;Fermi;y;;;;;
200215A;02h16m29sÿ+12ø 47';3;Swift;y;y;;;;
200205B;07h11m13sÿ-56ø 29';3;Swift;y;y;y;;;1.465
200131A;00h12m23sÿ+51ø 07';3;Swift;;y;y;;;
200127A;19h40m49sÿ+44ø 55';3;Swift;;y;;;;
200125A;15h12m11sÿ-08ø 09';3;Swift;y;y;y;;;
200122A;13h59m55sÿ+27ø 34';3;Swift;y;y;;;;
200120A;09h08m32sÿ-70ø 25';72*11;IPN;y;y;;;;
200115A;03h45m49sÿ+05ø 37';3;Swift;;y;;;;
200111A;07h11m29sÿ+32ø 33';258*12;IPN;y;;;;;
200109A;20h28m41sÿ+53ø 00';3;Swift;y;y;;;;
200107B;07h08m16sÿ-83ø 43';3;Swift;y;y;y;;;
200105A;21h15m45sÿ-36ø 19';60;MAXI;y;;;;;
200101A;17h15m59sÿ-32ø 18';162*22;Fermi;y;;;;;
191228A;00h21m21sÿ-08ø 40';3;Swift;;y;;;;
191227A;21h16m41sÿ-16ø 42';3;Swift;y;y;y;;;
191221B;10h19m20sÿ-38ø 08';3;Swift;y;y;y;y;;1.148
191220A;18h45m34sÿ+26ø 40';3;Swift;;y;y;;;
191218A;20h04m19sÿ-40ø 16';3;Swift;y;;;;;
191213A;14h58m02sÿ-09ø 44';3;Swift;y;;;;;
191202A;16h38m10sÿ+17ø 34';14;Fermi;y;;;;;
191130A;08h52m33sÿ+05ø 01';3;Swift;;;;;;
191123A;14h21m03sÿ+22ø 50';3;Swift;;y;y;;;
191122A;03h37m11sÿ-32ø 11';3;Swift;;y;;;;
191106A;17h57m24sÿ+46ø 03';3;Swift;y;y;;;;
191101A;16h47m23sÿ+43ø 45';3;Swift;y;y;;;;
191031D;18h53m06sÿ+47ø 38';3;Swift;y;y;;n;;
191031C;07h43m27sÿ-62ø 20';3;Swift;y;y;;;;
191031A;15h33m53sÿ+06ø 09';3;Swift;y;;;;;
191029A;23h28m34sÿ-40ø 28';3;Swift;;y;;;;
191024A;00h40m35sÿ-67ø 08';3;Swift;;y;;;;
191019A;22h40m09sÿ-17ø 20';3;Swift;;y;y;;;0.248
191017B;16h20m36sÿ-73ø 34';3;Swift;;y;;;;
191016A;02h01m11sÿ+24ø 30';3;Swift;;y;y;;;
191011A;02h58m54sÿ-27ø 51';3;Swift;y;y;y;;;1.722
191004B;03h16m42sÿ-39ø 37';3;Swift;y;y;y;;;3.503
191004A;02h06m53sÿ-36ø 56';3;Swift;y;y;y;;;
191001B;05h45m28sÿ-15ø 54';3;Swift;;;;;;
191001A;17h48m25sÿ+11ø 39';600;Fermi;y;;y;;;
190928A;02h26m19sÿ+29ø 28';1100*18;AGILE;y;;;;;
190926A;06h42m24sÿ+59ø 31';3;Swift;;y;;;;
190919B;20h47m33sÿ-44ø 43';3;INTEGRAL;;?;y;;;3.225
190906AS;17h50m18sÿ-11ø 55';222*7;IPN;y;;;;;
190829A;02h58m10sÿ-08ø 58';3;Swift;;y;y;y;;0.0785
190828D;16h47m42sÿ-24ø 33';2.3;INTEGRAL;y;;;;;
190828B;16h47m16sÿ+27ø 14';3;Swift;y;y;;;;
190828A;03h52m17sÿ+46ø 33';60;MAXI;;;;;;
190824A;14h21m19sÿ-41ø 54';3;Swift;y;y;;;;
190823A;18h36m43sÿ-43ø 30';60;MAXI;y;;;;;
